nome,data_nasc,cpf,tipo_sanguineo,peso,altura
Manoel Pietro Matheus Paz,11/07/1971,48717541115,O+,87,"1,83"
Sophie Marli Rodrigues,07/06/1970,85329021898,B+,55,"1,80"
Arthur Felipe Mota,26/09/1998,53529039748,B-,54,"1,79"
Luís Gabriel Lopes,24/06/1976,80842176233,A+,98,"1,81"
Lúcia C Luzia Almada,11/11/1946,6480417194,A-,49,"1,54"
Ayla Cecília Aparício,10/05/1966,64856625535,O+,57,"1,58"
Tatiane Bianca Nunes,09/03/1959,90494045450,O-,71,"1,62"
Levi Caue Marcos Vinicius Foga,24/10/1961,2894027788,A-,103,"1,88"
Nicolas Kevin Silva,11/01/1978,42465805975,A-,55,"1,70"
Hadassa Maria Sueli Souza,20/01/1941,97061570938,O-,47,"1,72"
Eduarda Isabela Pires,11/12/1991,56614424912,A-,50,"1,81"
João Nelson Pinto,01/01/1900,43539460136,AB-,58,"1,76"
Thomas Gustavo Pires,24/05/2001,6903198946,AB+,84,"1,89"
Luan Ricardo Rodrigo Luz,01/01/1900,73497846945,O+,109,"1,64"
Ayla Natália Costa,13/04/1992,95133867913,A-,70,"1,64"
Ana Emilly Ferreira,26/11/1951,53846343080,B+,84,"1,71"
Nina Tereza Alves,01/01/1900,29563875966,B-,61,"1,66"
Henrique Marcos Peixoto,24/05/1900,54452605184,AB+,66,"1,66"
Vitória Malu Priscila Carvalho,12/06/1955,13675421899,O-,62,"1,62"
Mariah Eloá Cavalcanti,06/10/1965,2833997590,AB-,88,"1,51"
Elaine Priscila Melo,27/11/1964,42874185221,A+,59,"1,79"
Arthur Gabriel Hugo Assuncão,17/12/1900,68029902530,A+,107,"1,90"
Ester Maya Rezende,16/02/1972,32767223308,AB+,55,"1,72"
Alice Esther Rosa,01/01/1900,26984257760,B-,67,"1,65"
Sérgio Osvaldo Dias,06/08/1968,87337448236,O+,109,"1,70"
Mariane Teresinha Teixeira,25/01/1900,32881718485,AB+,84,"1,69"
Josefa Isis Emily Mota,13/10/1944,53668300011,A+,77,"1,78"
Francisca Fabiana Carolina Mar,12/01/1946,98498119278,AB+,64,"1,72"
Patrícia Priscila Elisa Araújo,08/03/1997,64809518914,AB+,56,"1,85"
Maya Sandra Porto,06/05/1962,19329860222,AB+,85,"1,85"
Fátima Andrea Alves,07/11/1969,37908305776,B+,72,"1,78"
Anthony Martin Santos,20/03/1961,31380745454,O+,109,"1,89"
Caroline Gabrielly Catarina Ar,01/05/1972,31263437320,O-,73,"1,79"
Felipe Geraldo Benedito Ramos,10/12/1945,50872835782,O-,59,"1,63"
Pietro N André Cavalcanti,13/03/1981,7777686585,B+,101,"1,72"
Elisa Regina Fernanda Pereira,13/07/1969,92959393953,O+,66,"1,80"
Bruna Luzia Flávia das Neves,01/01/1900,73859183362,O-,55,"1,76"
Edson Isaac Renato Pereira,01/01/1900,12451099011,B+,83,"1,66"
Fábio Kevin Pires,04/05/1951,32026592942,AB-,104,"1,65"
Mirella Isadora Goncalves,22/11/1961,47223495766,AB-,88,"1,61"
Aline Emanuelly Sarah Alves,12/07/1973,55867458016,B-,49,"1,69"
Nicole Vitória Sophie Goncalve,27/09/1980,61691474827,A+,87,"1,66"
João Otávio Sérgio Nogueira,06/11/1976,3482483930,O+,60,"1,87"
Alice Caroline Caldeira,18/10/1986,22588802974,O+,65,"1,65"
Valentina Stefani Alana Cardos,23/03/1953,76298423761,AB-,71,"1,64"
Ryan R Luan Ribeiro,05/02/1970,98931846304,AB-,90,"1,76"
Alana Heloise Tania Figueiredo,04/07/1942,14461507122,O-,85,"1,63"
Rafael André Giovanni Jesus,01/11/1957,31530695732,B+,84,"1,80"
Guilherme Yuri Daniel Sales,02/03/1982,67772794070,AB+,52,"1,73"
Isabela Clara Corte Real,05/05/1959,45274281443,AB-,47,"1,70"
Lara Adriana Cardoso,01/01/1900,54500252894,O-,45,"1,69"
Camila Giovana Natália Rodrigu,14/03/1984,61356010245,B-,73,"1,62"
Gabrielly Valentina Raimunda C,10/02/1961,97022136149,AB+,53,"1,58"
Vanessa Sophia Campos,01/01/1900,67621762918,A-,52,"1,65"
Gabriela Alícia Tatiane Bernar,22/09/1976,76155182027,B-,54,"1,69"
Cláudia Tania Lima,01/01/1900,66516825122,A-,55,"1,54"
Bárbara Alessandra Teixeira,01/01/1900,9313321769,O-,46,"1,70"
Manuel Luiz Cunha,01/01/1900,80203646410,B-,95,"1,87"
Bernardo R Roberto Silveira,03/02/1968,86140140153,B+,84,"1,75"
Nicole Alana Almada,09/09/1968,12693080410,AB-,49,"1,75"
Gabriel Giovanni Edson Fogaca,18/06/1996,92316398200,A-,76,"1,80"
Tiago Renato Nascimento,23/04/1960,8064292328,AB-,57,"1,87"
Marina Mariana Esther Barros,18/05/1964,70180486489,A-,78,"1,66"
Rita Alessandra Freitas,11/01/1983,31934168866,O+,84,"1,75"
Sandra Vitória Lavínia Barros,01/01/1900,81722284650,AB+,85,"1,78"
Henrique Augusto Levi Viana,14/07/1984,58976628195,A-,103,"1,85"
Bruno Noah Oliver Paula,10/06/1955,3552485732,B-,68,"1,64"
Luiza Francisca Marlene Brito,12/04/1989,87852129463,AB-,75,"1,78"
Cecília Teresinha Mariana Mont,01/01/1900,54681642649,O+,52,"1,59"
Cecília Juliana Larissa Assunc,15/12/1939,1179619307,O+,74,"1,57"
Aurora Esther Cardoso,14/08/1980,6233349508,O-,88,"1,64"
Ruan Theo Duarte,27/05/1943,91534140980,O-,61,"1,77"
Letícia Sophie Nunes,08/05/1990,33768948846,B-,77,"1,55"
Marcos Vinicius Nicolas Erick ,27/11/1996,20792936647,B-,91,"1,81"
Guilherme Danilo Martins,01/12/1987,86183718904,A+,53,"1,95"
Betina Isabella Paz,27/04/1965,29447389848,A+,61,"1,58"
Clara Helena Priscila Cardoso,08/03/1981,54159661530,A+,58,"1,70"
Raquel Ayla Assuncão,12/05/1974,85077602603,A-,68,"1,68"
Valentina Elza Farias,01/01/1900,86573659368,AB+,78,"1,62"
Diogo Manuel Costa,07/06/1991,76362617827,B-,63,"1,62"
Rafaela Francisca Mendes,07/11/1974,31087464641,O+,46,"1,74"
Giovanni Ruan Mota,01/01/1900,61861154887,O+,102,"1,79"
Lucca Severino Martin Rezende,10/04/1971,32526936586,O-,100,"1,89"
Otávio Felipe Henry Almeida,10/01/1951,58271711156,A-,85,"1,66"
Vera Fátima Stefany Almeida,08/08/1900,43748129890,B-,81,"1,56"
Jaqueline Vera Maya Moraes,01/01/1900,64276815754,AB-,65,"1,70"
Andreia Juliana Melo,22/02/1948,5910146530,O+,84,"1,59"
Luiza Bárbara Gomes,10/12/1956,31716116198,O-,74,"1,67"
Davi Elias Nascimento,19/09/1940,79847927804,A-,93,"1,85"
Vera Mariane Marcela Assis,02/03/1978,16421457932,A-,78,"1,72"
Luna Esther Alessandra Dias,01/01/1900,52426094788,A+,65,"1,59"
Davi Francisco Isaac Mata,26/04/1946,76236274061,AB-,84,"1,69"
Antonio V Noah Corte Real,01/01/1900,17851509955,A-,67,"1,85"
Carlos Eduardo Ricardo Matheus,18/03/1939,57324267106,O+,69,"1,84"
Rayssa Simone Pereira,01/01/1900,43058344481,A+,57,"1,76"
Matheus Francisco Elias Nascim,01/01/1900,64306570436,B-,98,"1,76"
Heitor Pietro Felipe Viana,01/01/1900,16446969325,AB-,60,"1,66"
Bryan Emanuel André Aragão,01/01/1900,11830881671,AB+,91,"1,88"
Laura Kamilli Paula,01/01/1900,14682291769,B+,71,"1,55"
Yuri Enrico Caue Gomes,11/01/1960,56688127075,AB-,73,"1,89"
Gabriel Fernando Vieira,04/03/1963,42502646960,A+,68,"1,63"
Teresinha Bárbara Baptista,12/12/1968,95309716645,O+,71,"1,78"
Alessandra Esther Aline Olivei,23/06/1976,26638621505,AB+,50,"1,57"
Enrico Hugo Teixeira,22/10/1946,99423221912,B+,53,"1,79"
Yasmin Alícia Luiza das Neves,01/01/1900,62499591064,AB-,71,"1,65"
Olivia A Cláudia Teixeira,18/03/1943,23168686905,O+,63,"1,68"
Lucca Carlos Ferreira,25/04/1993,3360816420,O-,99,"1,74"
Manoel Lorenzo Manuel Rodrigue,25/07/1966,27496580392,A-,103,"1,99"
Calebe Gustavo Davi Cruz,23/05/1946,89510873870,B+,106,"1,64"
Henrique Francisco Viana,23/01/1980,17244662327,O+,63,"1,75"
Benedito Marcos Vinicius Tomás,20/03/1949,11362393320,A-,73,"1,94"
Sarah Alice Figueiredo,01/01/1900,11728431557,A-,87,"1,64"
Alexandre Gustavo Leonardo Nog,27/04/1952,46311545942,B+,63,"1,74"
Malu Emili Isabelli Lima,01/01/1900,73246164029,O-,65,"1,64"
Valentina Elza Aragão,07/06/1946,81291271996,AB+,63,"1,51"
Márcia Liz Carvalho,22/08/1990,54633352814,AB+,77,"1,63"
Joana E Maite Cruz,07/02/1900,7999099805,AB+,87,"1,52"
Yuri Daniel Luís das Neves,01/01/1900,13764673052,O+,92,"1,86"
César Edson Assuncão,06/12/1900,36835464097,O+,93,"1,61"
Bruno Noah Santos,09/11/1997,55058721821,A-,70,"1,79"
Jaqueline Eliane Bruna Cavalca,21/05/1982,78317058727,A+,58,"1,66"
Anthony Raimundo Corte Real,18/06/1944,19003075298,B+,54,"1,89"
Isabelly Renata Raimunda Barro,14/10/1946,64914931800,A+,81,"1,57"
Calebe Edson Moraes,24/11/1959,60403457050,O-,88,"1,96"
Jennifer Carolina Marlene Gonc,21/01/1972,24160335225,A+,54,"1,55"
Liz Sophia Mariah Peixoto,22/01/1940,7547988288,B+,79,"1,81"
Nelson B Yago Cunha,19/02/1900,31797329707,A-,68,"1,81"
Rodrigo Luís Figueiredo,02/09/1955,99578985908,B-,90,"1,84"
Joaquim Anthoni Barros,08/10/1944,60769742572,B+,104,"1,80"
Analu Sueli Oliveira,11/06/2001,70497361124,B+,89,"1,58"
Lorenzo José Lopes,16/04/1993,25046567938,O-,80,"1,66"
Fernando Igor Elias Ribeiro,05/11/1943,34830254726,AB-,61,"1,80"
Cristiane Isabelly Rocha,20/06/1965,50379997401,O-,70,"1,51"
Diogo Augusto Pires,01/06/1984,16379437924,AB+,65,"1,80"
Caue Nicolas Moura,01/11/1983,62890372502,B-,82,"1,68"
Lavínia Helena Sueli Cardoso,12/05/1942,69359195685,B-,83,"1,84"
Iago Marcos Vinicius Freitas,19/11/1942,90141935995,A-,85,"1,69"
Rodrigo Osvaldo Fernandes,05/05/1975,78328739577,B-,53,"1,97"
Diego Márcio Severino Fernande,14/05/1984,33968990919,B+,77,"1,68"
Jorge Nelson Ricardo Mota,01/05/1943,46970767701,B-,69,"1,93"
Osvaldo Ricardo Melo,07/12/1939,88909376961,O+,50,"1,85"
Sandra Mariane Carolina Brito,21/11/2001,55095391007,AB-,45,"1,73"
Stefany Tereza Duarte,11/04/1948,6613565580,O+,83,"1,59"
Eduardo E Elias Silva,15/04/1945,52561502198,O+,85,"1,93"
Ryan João Calebe Viana,20/06/1950,12961765846,A-,93,"1,72"
Maite Luna Ayla Nascimento,04/12/1972,75595601485,A-,78,"1,70"
Gabriel César Marcelo Moura,22/06/1989,55449142498,AB-,61,"1,75"
Yago Pedro Henrique Cruz,24/10/1945,68328310562,O+,57,"1,63"
Alexandre A Diego Silva,01/01/1900,47710441980,AB+,73,"1,67"
Calebe Lucas Drumond,21/04/1946,65444491648,B-,70,"1,73"
Simone Agatha Cláudia Cavalcan,12/02/1959,6727062293,A+,59,"1,67"
Priscila Emanuelly Jesus,01/01/1900,26056059146,A+,86,"1,54"
Lavínia Pietra Raimunda Teixei,10/02/1978,34177635847,O+,77,"1,82"
Ryan Theo Pinto,01/01/1900,7328628090,A-,75,"1,75"
Giovanna Milena Costa,15/10/1973,30436667711,A+,80,"1,57"
Isis Laura Brito,11/11/1992,40519239598,O-,66,"1,77"
Vinicius Fernando Hugo Corte R,01/04/1941,22032192624,A-,100,"1,88"
Igor Bernardo Pires,25/09/1969,6962838913,AB-,88,"1,83"
Larissa Carolina Bárbara Luz,01/01/1900,59717963649,A-,72,"1,51"
Eliane Marina Aila Rocha,20/11/1964,20857181670,A-,52,"1,84"
Carlos Eduardo Breno Emanuel D,01/01/1900,76966906980,A-,50,"1,79"
Lara Bianca Camila Viana,02/03/1958,64325695672,B-,46,"1,60"
Malu Marcela Campos,09/01/1945,36347992264,O+,71,"1,82"
Eliane Kamilly Paz,05/04/1999,66332083913,A+,50,"1,80"
Daiane Bruna Martins,13/03/1975,40147483913,B-,90,"1,80"
Gustavo Ian Paula,22/01/1982,42798204062,AB+,50,"1,65"
Bento Arthur Pereira,05/05/1989,10584095309,O+,57,"1,93"
Edson Elias Cavalcanti,01/01/1900,68145675391,B-,91,"1,79"
Kevin Victor Carlos Eduardo Ro,07/07/1967,46083209129,A+,88,"1,65"
Isaac Henry Vinicius Cavalcant,23/08/1983,31466304197,B-,89,"1,60"
Nathan Carlos Eduardo Isaac Fr,23/02/2001,40605647534,B-,97,"1,77"
Diego Juan Oliveira,01/01/1900,20792792386,B+,61,"1,61"
Sônia Tania Barros,01/01/1900,49808924000,B+,80,"1,58"
Julia Stefany Olivia Goncalves,04/05/1951,34670147200,AB+,45,"1,80"
Raul Thiago Edson Almada,01/01/1900,33513260415,O-,89,"1,80"
Lucas Jorge Nelson Brito,12/02/2000,11038673003,O-,72,"1,75"
Kevin Anthony Thales Barbosa,11/03/1900,267627904,AB-,99,"1,62"
Juan Ricardo Lucas Castro,14/08/1944,89389282250,O+,65,"1,91"
Enrico Vinicius André Peixoto,13/11/1950,74783576106,B+,95,"1,74"
Caio Enrico Costa,14/08/1979,47361095801,B-,59,"1,88"
André Juan Silva,23/04/1974,67940082892,B+,70,"1,87"
Manoel Samuel Cardoso,25/06/1900,18562313726,B+,54,"1,72"
César Theo Barbosa,25/06/1954,21474946232,B+,95,"1,74"
Enzo Leandro Rafael Nogueira,10/10/1939,7488918541,O+,74,"1,63"
Thomas Marcelo Bernardes,15/03/1976,74908825670,A-,68,"1,73"
Arthur Paulo Enzo Duarte,13/05/1963,41834442508,AB-,95,"1,61"
Milena Andreia Nunes,01/07/1976,52607105250,B-,54,"1,74"
Danilo João Mateus Ribeiro,11/09/1984,69347803103,A+,57,"1,75"
Priscila Julia Márcia Baptista,17/09/2001,72159801380,AB+,87,"1,76"
Agatha Marli Almeida,14/08/1986,58198259937,AB-,79,"1,84"
Isabelly Silvana Cristiane Ara,17/04/1993,35200321980,AB+,53,"1,55"
Rodrigo Marcos Thomas Martins,10/10/1987,93843883351,A-,70,"1,96"
Melissa Luzia Rezende,07/01/1977,52667797302,AB-,85,"1,51"
Osvaldo Henry Assis,03/12/1956,56818173187,O+,99,"1,79"
Bryan Luan Brito,27/06/1986,63814292243,B+,77,"1,77"
Marcela L Priscila Mata,24/06/1996,32517176930,AB+,85,"1,85"
Silvana Joana Conceicão,23/08/1971,73815338204,AB+,47,"1,56"
Lucas M Kevin Rocha,16/10/1954,33966242389,O+,72,"2,00"
César Hugo Baptista,06/11/1959,1315187396,O-,61,"1,81"
Tania Cláudia Lima,25/12/1961,71998862844,O-,69,"1,80"
Vinicius Breno Renato Costa,25/08/1973,3413471597,A+,63,"1,95"
Sônia Alana Silva,01/01/1900,98926249204,O-,45,"1,82"
Paulo José Bruno Fernandes,15/05/1967,24043020511,B-,70,"1,97"
Carlos E Caio Peixoto,01/01/1900,79204798270,B-,80,"1,72"
Juan Eduardo Goncalves,05/04/1978,7180740764,AB-,77,"1,83"
Diogo Benício Figueiredo,06/01/1961,79751880424,B-,50,"1,67"
Caleb Fernando Goncalves,18/02/1967,76532340464,AB-,105,"1,61"
Raimunda Bruna Carvalho,11/12/1944,90890908001,A+,57,"1,53"
Flávia B Carla Castro,20/05/1971,48665959904,A-,81,"1,55"
Emily Pietra Novaes,11/05/1948,24768882900,O+,59,"1,78"
Tomás Nathan Rodrigo Monteiro,07/08/1992,79488188804,A-,92,"1,67"
Rita Juliana Luz,08/09/1947,81496796772,O+,58,"1,85"
Kevin Filipe Farias,02/12/1948,95432501384,AB-,57,"1,64"
Sophia Alícia Eduarda Vieira,17/11/1962,71005561982,O-,82,"1,76"
Aline Isabel Ester Figueiredo,12/02/1987,27826757290,B+,85,"1,65"
Caleb Yuri Mário Moura,27/08/1959,25134669503,A-,90,"1,70"
Raissa D Priscila Alves,21/08/1950,31145926355,O-,55,"1,71"
Betina Elaine Drumond,01/01/1900,61885809352,AB-,74,"1,58"
Luan Lorenzo Moreira,10/08/2001,77413595508,AB-,99,"1,92"
Emilly Nicole Cardoso,10/03/1962,34053186293,AB+,68,"1,82"
Rafael Osvaldo Jesus,06/06/1958,25117111338,A+,71,"2,00"
Nicolas Yuri Santos,21/01/1953,7365082798,A+,87,"1,68"
Bento Levi Cardoso,15/08/1963,79365208807,B-,106,"1,75"
Enzo Albuquerque Silva,19-01-2015,58762423819,A-,14,"1,04"
Yago José Nascimento,21/04/1900,83557817164,B-,65,"1,79"
Ryan César Thomas Corte Real,05/10/1963,45091929754,B+,69,"1,91"
Benício Iago Silveira,24/07/1948,8369459722,O+,97,"1,72"
Sabrina Natália Lorena Vieira,10/07/1965,91034860879,A+,74,"1,50"
Marli Sara Paula,21/02/1973,78458179458,B+,83,"1,58"
Pedro Henrique Gabriel Caldeir,01/01/1900,61784501921,AB-,104,"1,95"
Theo Nelson Sérgio Bernardes,01/01/1900,58085578107,A+,54,"1,76"
Gustavo Anthony Santos,23/08/1979,9874775106,A+,86,"1,62"
Thomas Cauã Daniel Novaes,21/11/1963,32863369636,O+,106,"1,97"
Renato Daniel Santos,18/10/1966,23382179776,AB-,83,"1,60"
Sarah Gabrielly Aragão,13/10/1987,20878435549,B+,48,"1,56"
Pedro Rodrigo Felipe Bernardes,21/12/1988,79827894803,A+,110,"1,84"
Anderson Raul Rafael Assuncão,01/01/1900,24186583250,AB+,54,"1,75"
Isadora Luzia Brito,04/04/2001,81992637920,O-,73,"1,69"
Mariah Lavínia Luana Figueired,18/05/1942,87601063526,A-,55,"1,79"
Heloisa Emanuelly Alves,04/08/2000,37977265540,B-,68,"1,85"
Kamilli Alice Paz,01/01/1900,20270480145,A+,62,"1,68"
Rodrigo Calebe João Goncalves,07/05/1987,53328045554,O+,84,"1,98"
Daiane Mariane Oliveira,24/03/1995,41718096810,O-,79,"1,51"
Vanessa Fabiana Teixeira,08/05/1900,38504217400,AB-,48,"1,83"
Vicente C José Cunha,17/05/1987,7138245904,B+,58,"1,74"
Betina Mariana Clara Silva,24/02/1979,50642561753,A-,87,"1,74"
Tania Mariane Helena Rosa,24/08/1900,29223058139,B+,64,"1,67"
Enrico Iago Barbosa,25/06/1954,74166734024,O-,96,"1,83"
Alessandra Juliana Fogaca,18/08/1996,38186228500,A+,65,"1,59"
Vitória Analu Barbosa,01/01/1900,97978952541,O-,81,"1,62"
Elaine Teresinha Sophia Goncal,09/02/1900,40627948960,B+,70,"1,70"
Raimundo Rodrigo Rosa,01/01/1900,85178606400,B-,81,"1,85"
Caroline Mariah Mata,20/08/1953,59922384256,AB+,61,"1,57"
Matheus Albuquerque Silva,19-01-2015,58762423819,A-,13,"1,07"
Yuri Vitor Carlos Eduardo Cava,03/11/1900,48972279412,B+,67,"1,89"
Cauã Isaac Caldeira,01/01/1900,35083528118,A+,54,"1,68"
Arthur Cauã Tiago Fogaca,10/08/1956,86731501913,B+,108,"1,65"
Enrico Jorge Pires,18/04/1999,35952499686,B+,110,"1,92"
Matheus Gustavo Daniel Bernard,11/09/1985,81611057906,B-,75,"1,90"
Bento D Julio Santos,16/04/1942,70372085822,O-,98,"1,89"
Gabrielly Camila Fogaca,19/09/1993,87184588312,O+,71,"1,59"
Luna Sophia Martins,01/01/1996,17345696111,B+,59,"1,50"
Laís Pietra Alice Cruz,15/08/1949,83815768497,AB+,48,"1,73"
Nicolas Anderson Daniel Luz,11/06/1979,41933221658,AB-,52,"1,63"
Levi Gael Jorge Viana,04/10/1951,200456628,B+,53,"1,81"
Bárbara Analu Monteiro,25/12/1965,73534823893,O-,46,"1,62"
Andreia Yasmin Porto,05/01/1985,66561919327,A+,86,"1,63"
Aparecida Stefany Alice Assunc,15/09/1962,89574607569,B+,87,"1,61"
Lúcia Stella Farias,17/08/1991,23704564427,AB+,54,"1,51"
Adriana Vitória Tania Nogueira,01/01/1900,40752303171,O-,89,"1,68"
Silvana Joana Caroline Bernard,16/10/1960,52646539509,B+,84,"1,55"
Felipe Diego Rezende,18/10/1967,37425133628,B-,97,"1,86"
Andreia S Malu Peixoto,01/01/1900,65192771420,AB+,68,"1,72"
Luan Raimundo Marcos Ferreira,01/01/1900,45707514074,O+,78,"1,92"
