nome,data_nasc,cpf,tipo_sanguineo,peso,altura
Raimunda Bruna Carvalho,11/12/1944,90890908001,A+,57,"1,53"
Teresinha Bárbara Baptista,12/12/1968,00000000000,O+,71,"1,78"
Raimundo Rodrigo Rosa,01/01/1900,85178606400,B-,81,"1,85"
Joaquim Bento Gabriel Nogueira,03/12/1972,93254040449,B-,100,"1,78"
Joana E Maite Cruz,07/02/1998,7999099805,AB+,87,"1,52"
Lorena Alice Pires,05/05/1957,32013102046,B+,79,"1,85"
Yasmin Alícia Luiza das Neves,25/11/1939,62499591064,AB-,71,"1,65"
Arthur Gabriel Hugo Assuncão,17/12/1965,68029902530,A+,107,"1,90"
Márcia Liz Carvalho,22/08/1990,54633352814,AB+,77,"1,63"
Thomas Gustavo Pires,24/05/2001,00000000000,AB+,84,"1,89"
Lucca Severino Martin Rezende,01/01/1900,32526936586,O-,100,"1,89"
Diogo Augusto Pires,01/06/1984,00000000000,AB+,65,"1,80"
João Otávio Sérgio Nogueira,01/01/1900,3482483930,O+,60,"1,87"
Lucas M Kevin Rocha,16/10/1954,33966242389,O+,72,"2,00"
Felipe Geraldo Benedito Ramos,10/12/1945,00000000000,O-,59,"1,63"
Levi Caue Marcos Vinicius Foga,24/10/1961,2894027788,A-,103,"1,88"
Vanessa Sophia Campos,23/10/1966,67621762918,A-,52,"1,65"
Benedito Marcos Vinicius Tomás,20/03/1949,11362393320,A-,73,"1,94"
Nicolas Diogo Kaue Alves,13/02/1966,43778886762,AB+,71,"1,97"
Rosangela Sara Santos,05/04/1999,00000000000,B+,86,"1,83"
Nicole Vitória Sophie Goncalve,27/09/1980,61691474827,A+,87,"1,66"
Elaine Rafaela Vera Duarte,05/08/1950,92237724865,O+,67,"1,81"
Jaqueline Eliane Bruna Cavalca,21/05/1982,78317058727,A+,58,"1,66"
Olivia A Cláudia Teixeira,18/03/1900,23168686905,O+,63,"1,68"
Caroline Gabrielly Catarina Ar,01/05/1972,31263437320,O-,73,"1,79"
Mariah Lavínia Luana Figueired,18/05/1942,87601063526,A-,55,"1,79"
Juan Eduardo Goncalves,05/04/1978,7180740764,AB-,77,"1,83"
Bryan Luan Brito,27/06/1986,63814292243,B+,77,"1,77"
Thomas Cauã Daniel Novaes,01/01/1900,32863369636,O+,106,"1,97"
Ester Vera Ferreira,23/01/1977,60805627901,A+,81,"1,66"
Ruan Theo Duarte,01/01/1900,91534140980,O-,61,"1,77"
Manuel Luiz Cunha,08/03/1951,80203646410,B-,95,"1,87"
Gabriel César Marcelo Moura,22/06/1989,55449142498,AB-,61,"1,75"
Carlos Victor Assuncão,20/02/1999,00000000000,AB-,84,"1,96"
Yuri Vitor Carlos Eduardo Cava,11/03/1994,48972279412,B+,67,"1,89"
Renata Luana Aragão,27/05/1956,43965727354,AB-,48,"1,65"
Luan Ricardo Rodrigo Luz,01/01/1900,73497846945,O+,109,"1,64"
João Cláudio Silveira,23/02/1956,97555611457,AB-,85,"1,86"
Sarah Alice Figueiredo,08/06/1962,11728431557,A-,87,"1,64"
Priscila Julia Márcia Baptista,01/01/1900,72159801380,AB+,87,"1,76"
Anderson Caleb Carlos Eduardo ,01/01/1900,77557528522,O-,62,"1,71"
Isaac Henry Vinicius Cavalcant,23/08/1983,31466304197,B-,89,"1,60"
Vitória Analu Barbosa,05/08/1974,00000000000,O-,81,"1,62"
Lúcia C Luzia Almada,11/11/1900,6480417194,A-,49,"1,54"
Anderson Guilherme Assis,13/08/1983,17399643652,B-,87,"1,91"
Manoel Iago Kevin Ferreira,20/09/1962,19934854309,B-,67,"1,77"
Vanessa Fabiana Teixeira,01/01/1900,38504217400,AB-,48,"1,83"
Nicolas José Gael Barbosa,01/01/1900,78831496522,B-,95,"1,83"
Matheus Albuquerque Silva,19-01-2015,58762423819,A-,13,"1,07"
Agatha Marli Almeida,01/01/1900,58198259937,AB-,79,"1,84"
Elaine Teresinha Sophia Goncal,02/09/1959,40627948960,B+,70,"1,70"
Yuri Daniel Luís das Neves,21/04/1973,13764673052,O+,92,"1,86"
Emilly Nicole Cardoso,03/10/1962,00000000000,AB+,68,"1,82"
Maya Sandra Porto,06/05/1962,00000000000,AB+,85,"1,85"
Diego Juan Oliveira,25/02/1960,00000000000,B+,61,"1,61"
Danilo João Mateus Ribeiro,11/09/1984,69347803103,A+,57,"1,75"
Sueli Brenda Ribeiro,03/05/1994,51063181810,A+,66,"1,64"
Iago Roberto Santos,16/01/1983,17888939562,B+,58,"1,80"
Severino Julio Bernardes,01/01/1900,42926476663,B+,53,"1,82"
Analu Sueli Oliveira,01/01/1900,70497361124,B+,89,"1,58"
Melissa Luzia Rezende,01/07/1977,00000000000,AB-,85,"1,51"
Jéssica Rayssa Lúcia Aragão,17/12/1942,79184036141,B-,59,"1,84"
Kamilly Alice Paz,03/08/1976,20270480145,A+,62,"1,68"
Osvaldo Ricardo Melo,07/12/1939,88909376961,O+,50,"1,85"
Luiz Lucas Assuncão,22/02/1953,74924001953,B-,53,"1,61"
Alana Heloise Tania Figueiredo,04/07/1942,14461507122,O-,85,"1,63"
Ayla Natália Costa,13/04/1992,95133867913,A-,70,"1,64"
Carlos Eduardo Breno Emanuel D,27/09/2001,76966906980,A-,50,"1,79"
Lúcia Stella Farias,01/01/1900,23704564427,AB+,54,"1,51"
Gabriel Giovanni Edson Fogaca,18/06/1996,00000000000,A-,76,"1,80"
Calebe Lucas Drumond,01/01/1900,65444491648,B-,70,"1,73"
Aparecida Stefany Alice Assunc,15/09/1962,89574607569,B+,87,"1,61"
Arthur Cauã Tiago Fogaca,10/08/1956,86731501913,B+,108,"1,65"
Alexandre Gustavo Leonardo Nog,27/04/1952,46311545942,B+,63,"1,74"
Letícia Sophie Nunes,08/05/1990,33768948846,B-,77,"1,55"
Isabela Clara Corte Real,05/05/1959,45274281443,AB-,47,"1,70"
Joaquim Otávio Rafael Barbosa,14/10/1942,00000000000,O+,93,"1,82"
Mateus Danilo Lorenzo Viana,23/12/1964,58574457442,B-,90,"1,70"
Carlos E Caio Peixoto,13/05/1948,79204798270,B-,80,"1,72"
Andreia S Malu Peixoto,01/01/1900,65192771420,AB+,68,"1,72"
Anthony Martin Santos,20/03/1961,31380745454,O+,109,"1,89"
Pedro Rodrigo Felipe Bernardes,21/12/1988,79827894803,A+,110,"1,84"
Jennifer Carolina Marlene Gonc,21/01/1972,00000000000,A+,54,"1,55"
Lara Adriana Cardoso,01/01/1900,54500252894,O-,45,"1,69"
Edson Elias Cavalcanti,25/09/1956,00000000000,B-,91,"1,79"
João Nelson Pinto,11/02/1986,43539460136,AB-,58,"1,76"
Cauã Paulo Luan Martins,11/07/1951,99095411575,B-,85,"1,94"
Theo Nelson Sérgio Bernardes,04/06/1948,00000000000,A+,54,"1,76"
Sônia Tania Barros,01/01/1900,00000000000,B+,80,"1,58"
Priscila Emanuelly Jesus,14/07/1967,26056059146,A+,86,"1,54"
Caroline Mariah Mata,20/08/1953,59922384256,AB+,61,"1,57"
Rafael Osvaldo Jesus,01/01/1900,25117111338,A+,71,"2,00"
Ester Maya Rezende,01/01/1900,32767223308,AB+,55,"1,72"
Silvana Joana Caroline Bernard,16/10/1960,52646539509,B+,84,"1,55"
Enrico Jorge Pires,18/04/1999,35952499686,B+,110,"1,92"
Larissa Fátima Clarice Peixoto,06/03/1981,00000000000,O-,65,"1,57"
Luna Esther Alessandra Dias,20/10/1944,52426094788,A+,65,"1,59"
Elaine Priscila Melo,27/11/1964,00000000000,A+,59,"1,79"
Mariah S Kamilly Nogueira,04/09/1982,89916916330,O-,56,"1,76"
Guilherme Yuri Daniel Sales,02/03/1982,67772794070,AB+,52,"1,73"
Rodrigo Osvaldo Fernandes,05/05/1975,78328739577,B-,53,"1,97"
Stefany Tereza Duarte,01/01/1900,6613565580,O+,83,"1,59"
Alexandre A Diego Silva,05/11/1991,47710441980,AB+,73,"1,67"
Bárbara Alessandra Teixeira,20/09/1942,9313321769,O-,46,"1,70"
Alessandra Luana Farias,16/02/1982,00000000000,B-,59,"1,68"
Eduarda Isabela Pires,11/12/1991,56614424912,A-,50,"1,81"
Kevin Filipe Farias,02/12/1948,95432501384,AB-,57,"1,64"
Gabrielly Valentina Raimunda C,10/02/1961,97022136149,AB+,53,"1,58"
Yago Pedro Henrique Cruz,24/10/1945,68328310562,O+,57,"1,63"
Isis Laura Brito,11/11/1992,00000000000,O-,66,"1,77"
Mirella Isadora Goncalves,22/11/1961,47223495766,AB-,88,"1,61"
Nicolas Yuri Santos,21/01/1953,7365082798,A+,87,"1,68"
Enrico Vinicius André Peixoto,13/11/1950,74783576106,B+,95,"1,74"
Tomás Nathan Rodrigo Monteiro,07/08/1992,79488188804,A-,92,"1,67"
Sônia Alana Silva,25/05/1954,98926249204,O-,45,"1,82"
Lúcia Emanuelly Silva,04/09/1966,00000000000,A-,57,"1,54"
Paulo Miguel Galvão,15/01/1981,15898736530,O+,81,"1,75"
Igor Bernardo Pires,25/09/1969,6962838913,AB-,88,"1,83"
César Hugo Baptista,06/11/1959,1315187396,O-,61,"1,81"
Eduardo I Kaue Peixoto,18/02/1973,72789776067,A-,66,"1,62"
Valentina Elza Aragão,07/06/1946,81291271996,AB+,63,"1,51"
Valentina Elza Farias,25/11/1996,00000000000,AB+,78,"1,62"
Lara Beatriz Silveira,19/02/1982,58061724146,AB+,48,"1,85"
Aline Isabel Ester Figueiredo,12/02/1987,27826757290,B+,85,"1,65"
Lara Bianca Camila Viana,01/01/1900,64325695672,B-,46,"1,60"
Nicolas Kevin Silva,11/01/1978,42465805975,A-,55,"1,70"
Bento Levi Cardoso,15/08/1963,79365208807,B-,106,"1,75"
Rafael André Giovanni Jesus,01/11/1957,31530695732,B+,84,"1,80"
Simone Agatha Cláudia Cavalcan,01/01/1900,6727062293,A+,59,"1,67"
Betina Mariana Clara Silva,24/02/1979,50642561753,A-,87,"1,74"
Diogo Benício Figueiredo,06/01/1961,79751880424,B-,50,"1,67"
Nicolas Vitor Moreira,01/03/2000,58891264660,B-,98,"1,84"
Enzo Albuquerque Silva,19-01-2015,58762423819,A-,14,"1,04"
Ayla Cecília Aparício,10/05/1966,00000000000,O+,57,"1,58"
Manuel Rodrigo Moraes,13/03/1900,00000000000,AB+,90,"1,72"
Iago Marcos Vinicius Freitas,19/11/1942,90141935995,A-,85,"1,69"
Felipe Diego Rezende,18/10/1967,37425133628,B-,97,"1,86"
Leonardo Tiago Luan Brito,19/04/2000,48741894669,AB+,64,"1,85"
Augusto Bento Marcos Vinicius ,12/11/1942,00000000000,O+,77,"1,90"
César Theo Barbosa,25/06/1954,00000000000,B+,95,"1,74"
Benedita Alice Novaes,09/04/1962,2413385657,A+,50,"1,83"
Enrico Iago Barbosa,25/06/1954,74166734024,O-,96,"1,83"
Ryan Theo Pinto,20/10/1996,00000000000,A-,75,"1,75"
Luan Lorenzo Moreira,10/08/2001,77413595508,AB-,99,"1,92"
Bryan Raimundo Rocha,01/01/1900,00000000000,O-,83,"1,99"
Matheus Gustavo Daniel Bernard,11/09/1900,81611057906,B-,75,"1,90"
Kevin Victor Carlos Eduardo Ro,07/07/1967,46083209129,A+,88,"1,65"
Tania Mariane Helena Rosa,24/08/1985,29223058139,B+,64,"1,67"
Rodrigo Marcos Thomas Martins,10/10/1900,93843883351,A-,70,"1,96"
Sophia Alícia Eduarda Vieira,01/01/1900,71005561982,O-,82,"1,76"
Lavínia Helena Sueli Cardoso,05/12/1942,69359195685,B-,83,"1,84"
Daiane Mariane Oliveira,24/03/1995,41718096810,O-,79,"1,51"
Bruna Luzia Flávia das Neves,18/10/1950,73859183362,O-,55,"1,76"
Carlos Eduardo Ricardo Matheus,18/03/1939,57324267106,O+,69,"1,84"
Bento D Julio Santos,16/04/1942,70372085822,O-,98,"1,89"
Enrico Hugo Teixeira,22/10/1946,00000000000,B+,53,"1,79"
Calebe Edson Moraes,24/11/1959,60403457050,O-,88,"1,96"
Sandra Mariane Carolina Brito,21/11/2001,55095391007,AB-,45,"1,73"
Ryan César Thomas Corte Real,05/10/1963,45091929754,B+,69,"1,91"
Yuri Alexandre Leonardo Lopes,03/08/1963,00000000000,O+,92,"1,68"
Yago José Nascimento,01/01/1900,00000000000,B-,65,"1,79"
Adriana Vitória Tania Nogueira,03/08/1900,40752303171,O-,89,"1,68"
Yuri Enrico Caue Gomes,11/01/1960,56688127075,AB-,73,"1,89"
Alessandra Esther Aline Olivei,23/06/1976,26638621505,AB+,50,"1,57"
Lucas Jorge Nelson Brito,12/02/2000,11038673003,O-,72,"1,75"
Raimunda Luiza Nunes,06/08/1976,75892539792,O+,65,"1,57"
Alícia Bárbara Cavalcanti,01/01/1900,31276561148,A-,55,"1,58"
Helena Isabella Fabiana Aparíc,14/01/1962,41785755463,O-,67,"1,61"
Clara Helena Priscila Cardoso,01/01/1900,54159661530,A+,58,"1,70"
Flávia B Carla Castro,01/01/1900,00000000000,A-,81,"1,55"
Alice Caroline Caldeira,18/10/1986,22588802974,O+,65,"1,65"
Nelson B Yago Cunha,19/02/1978,31797329707,A-,68,"1,81"
Henrique Francisco Viana,23/01/1980,17244662327,O+,63,"1,75"
Laís Rita Campos,01/01/1900,00000000000,AB-,57,"1,61"
Osvaldo Henry Assis,01/01/1900,56818173187,O+,99,"1,79"
Isadora Beatriz Pietra Paula,16/06/1985,00000000000,A-,45,"1,60"
Lavínia Pietra Raimunda Teixei,01/01/1900,00000000000,O+,77,"1,82"
Emily Pietra Novaes,11/05/1948,00000000000,O+,59,"1,78"
Nicole Alana Almada,01/01/1900,12693080410,AB-,49,"1,75"
Valentina Stefany Alana Cardos,23/03/1953,76298423761,AB-,71,"1,64"
Betina Isabella Paz,27/04/1965,29447389848,A+,61,"1,58"
Guilherme Danilo Martins,12/01/1987,86183718904,A+,53,"1,95"
Andreia Yasmin Porto,05/01/1985,66561919327,A+,86,"1,63"
Sueli Clara Hadassa Cruz,08/04/1900,64692449713,A+,67,"1,55"
Andreia Juliana Melo,22/02/1948,00000000000,O+,84,"1,59"
Arthur Paulo Enzo Duarte,01/01/1900,41834442508,AB-,95,"1,61"
Renato Daniel Santos,01/01/1900,00000000000,AB-,83,"1,60"
Nina Tereza Alves,22/10/1961,29563875966,B-,61,"1,66"
Diogo Manuel Costa,07/06/1991,00000000000,B-,63,"1,62"
Cristiane Isabelly Rocha,20/06/1965,50379997401,O-,70,"1,51"
Luiza Francisca Marlene Brito,12/04/1989,87852129463,AB-,75,"1,78"
Benedita Regina Cavalcanti,19/03/1979,00000000000,A+,87,"1,83"
Clara Isabelly Marli Fogaca,17/03/1900,5306193501,AB+,75,"1,76"
Sophie Marli Rodrigues,07/06/1970,00000000000,B+,55,"1,80"
Vicente C José Cunha,01/01/1900,7138245904,B+,58,"1,74"
Bento Arthur Pereira,01/01/1900,10584095309,O+,57,"1,93"
Iago Davi Bernardo Teixeira,05/04/2000,41217734708,O-,79,"1,81"
Fábio Kevin Pires,04/05/1951,32026592942,AB-,104,"1,65"
Laura Kamilly Paula,20/09/1900,14682291769,B+,71,"1,55"
Daiane Bruna Martins,13/03/1975,40147483913,B-,90,"1,80"
Larissa M Gabriela Nogueira,26/02/1957,7146862712,A+,64,"1,77"
Pedro Henrique Iago Samuel Paz,19/08/1960,26640860490,A+,101,"1,99"
Vinicius Breno Renato Costa,25/08/1973,3413471597,A+,63,"1,95"
Cecília Juliana Larissa Assunc,15/12/1939,1179619307,O+,74,"1,57"
Manoel Pietro Matheus Paz,11/07/1971,48717541115,O+,87,"1,83"
Alessandra Juliana Fogaca,18/08/1996,38186228500,A+,65,"1,59"
Aurora Esther Cardoso,14/08/1980,6233349508,O-,88,"1,64"
Manoel Samuel Cardoso,25/06/1986,18562313726,B+,54,"1,72"
Bruno Noah Oliver Paula,10/06/1955,00000000000,B-,68,"1,64"
Sérgio Daniel Paz,01/08/1971,88423561070,O-,86,"1,81"
Vitória Malu Priscila Carvalho,01/01/1900,13675421899,O-,62,"1,62"
Caio Enrico Costa,14/08/1979,47361095801,B-,59,"1,88"
Cláudia Tania Lima,17/01/1976,00000000000,A-,55,"1,54"
Bruno Noah Santos,09/11/1997,55058721821,A-,70,"1,79"
Luís Gabriel Lopes,24/06/1976,80842176233,A+,98,"1,81"
Lorenzo José Lopes,16/04/1993,00000000000,O-,80,"1,66"
Alice Esther Rosa,01/01/1900,26984257760,B-,67,"1,65"
Joaquim Anthoni Barros,08/10/1944,60769742572,B+,104,"1,80"
Edson Isaac Renato Pereira,05/10/1973,00000000000,B+,83,"1,66"
Arthur L Carlos Eduardo Cunha,16/10/1959,51365499472,B-,63,"1,63"
Mariane Teresinha Teixeira,25/01/1945,32881718485,AB+,84,"1,69"
Heloisa Emanuelly Alves,04/08/2000,37977265540,B-,68,"1,85"
Rita Juliana Luz,09/08/1947,81496796772,O+,58,"1,85"
Henrique Augusto Levi Viana,14/07/1984,58976628195,A-,103,"1,85"
Josefa Isis Emily Mota,13/10/1944,00000000000,A+,77,"1,78"
Caleb Fernando Goncalves,18/02/1967,76532340464,AB-,105,"1,61"
Maite Luna Ayla Nascimento,01/01/1900,75595601485,A-,78,"1,70"
Luiza Bárbara Gomes,10/12/1956,31716116198,O-,74,"1,67"
Mariah Eliane Santos,06/04/1980,00000000000,A-,54,"1,78"
Letícia Márcia Vieira,03/01/1968,00000000000,B-,67,"1,76"
Marina Ana Alves,19/08/1900,77221648972,A+,69,"1,64"
Ricardo Kevin Nelson Rodrigues,01/01/1900,00000000000,A+,106,"1,61"
Aparecida Mariah Cunha,01/01/1900,3044018978,O+,66,"1,85"
Enzo Leandro Rafael Nogueira,10/10/1939,7488918541,O+,74,"1,63"
Gael Manuel Gustavo Drumond,10/07/1965,79919461180,AB+,106,"1,81"
Davi Francisco Isaac Mata,01/01/1900,76236274061,AB-,84,"1,69"
Raquel Ayla Assuncão,12/05/1974,85077602603,A-,68,"1,68"
Malu Marcela Campos,09/01/1945,36347992264,O+,71,"1,82"
Manuela Jennifer Rezende,06/09/1941,16635610790,B-,76,"1,84"
Tiago Renato Nascimento,23/04/1960,8064292328,AB-,57,"1,87"
Tania Cláudia Lima,25/12/1961,71998862844,O-,69,"1,80"
Gustavo Anthony Santos,01/01/1900,9874775106,A+,86,"1,62"
Edson Henry Joaquim Luz,01/01/1900,48981198403,B-,90,"1,76"
Silvana Vera Ana Paz,25/12/1990,88579653509,B-,72,"1,66"
Levi Gael Jorge Viana,04/10/1951,200456628,B+,53,"1,81"
Manuela Giovana Almeida,19/06/1971,71704624860,AB+,55,"1,79"
Ana Emilly Ferreira,01/01/1900,53846343080,B+,84,"1,71"
Patrícia Priscila Elisa Araújo,08/03/1997,64809518914,AB+,56,"1,85"
Rita Alessandra Freitas,01/11/1983,31934168866,O+,84,"1,75"
Rebeca Tania Ferreira,02/03/1994,21067013903,O+,62,"1,53"
Eduardo Iago Oliveira,09/09/1952,47817877971,A-,82,"1,61"
Gustavo Ian Paula,22/01/1982,42798204062,AB+,50,"1,65"
Pietro N André Cavalcanti,13/03/1900,7777686585,B+,101,"1,72"
Isabelly Renata Raimunda Barro,14/10/1900,64914931800,A+,81,"1,57"
Isabelly Silvana Cristiane Ara,17/04/1993,35200321980,AB+,53,"1,55"
Luan Raimundo Marcos Ferreira,19/02/1970,45707514074,O+,78,"1,92"
Sebastião Thales Almada,01/01/1900,00000000000,O+,109,"1,60"
Vera Mariane Marcela Assis,02/03/1978,00000000000,A-,78,"1,72"
Hadassa Maria Sueli Souza,20/01/1941,97061570938,O-,47,"1,72"
Laura Sueli Mirella Monteiro,19/04/1987,00000000000,A-,90,"1,79"
Arthur Felipe Mota,26/09/1998,53529039748,B-,54,"1,79"
Ruan Diogo Cardoso,04/05/1981,56689548708,A-,94,"1,99"
Marcos Vinicius Nicolas Erick ,27/11/1996,20792936647,B-,91,"1,81"
Cláudia Bruna Ribeiro,10/03/1900,3943613186,B+,53,"1,82"
Liz Simone Figueiredo,01/01/1900,28648830826,O-,84,"1,83"
Liz Sophia Mariah Peixoto,22/01/1940,7547988288,B+,79,"1,81"
Julia Bárbara Bianca Carvalho,16/01/1956,61496589610,A+,78,"1,79"
Vinicius Fernando Hugo Corte R,01/04/1900,22032192624,A-,100,"1,88"
Fátima Andrea Alves,07/11/1969,37908305776,B+,72,"1,78"
Pedro Henrique Gabriel Caldeir,01/01/1900,61784501921,AB-,104,"1,95"
Paulo José Bruno Fernandes,15/05/1900,24043020511,B-,70,"1,97"
Joaquim Francisco Dias,04/02/1971,40933210191,B+,66,"1,86"
Sabrina Aparecida Mirella Ribe,17/05/1993,6712757630,A-,68,"1,70"
Brian Emanuel André Aragão,10/01/1958,11830881671,AB+,91,"1,88"
Marina Mariana Esther Barros,18/05/1964,70180486489,A-,78,"1,66"
Heitor Pietro Felipe Viana,22/01/1996,16446969325,AB-,60,"1,66"
Cauã Isaac Caldeira,02/03/1945,35083528118,A+,54,"1,68"
Bernardo Ryan Aragão,25/10/1961,27260460105,O-,54,"1,99"
Caleb Yuri Mário Moura,27/08/1959,25134669503,A-,90,"1,70"
Antonio Albuquerque Silva,24-07-1980,58762423819,A-,80,"1,82"
Eduardo E Elias Silva,15/04/1945,52561502198,O+,85,"1,93"
Vitor Thiago Souza,27/03/1971,12271483301,AB+,82,"1,62"
Yasmin Pietra Rocha,07/08/1959,29438244700,O-,85,"1,59"
Márcia Isabela Aline Cruz,05/11/1981,00000000000,AB+,60,"1,80"
Sérgio Osvaldo Dias,06/08/1968,87337448236,O+,109,"1,70"
Fernando Igor Elias Ribeiro,05/11/1943,34830254726,AB-,61,"1,80"
Ryan João Calebe Viana,20/06/1950,12961765846,A-,93,"1,72"
Antonio V Noah Corte Real,24/03/1958,17851509955,A-,67,"1,85"
Murilo José Emanuel Santos,01/01/1900,94043420170,A+,100,"1,80"
Davi Elias Nascimento,01/01/1900,79847927804,A-,93,"1,85"
Tatiane Bianca Nunes,09/03/1959,90494045450,O-,71,"1,62"
Raul Thiago Edson Almada,13/03/1957,33513260415,O-,89,"1,80"
Vera Fátima Stefany Almeida,01/01/1900,43748129890,B-,81,"1,56"
Laís Pietra Alice Cruz,15/08/1949,00000000000,AB+,48,"1,73"
Marli Sara Paula,21/02/1973,78458179458,B+,83,"1,58"
César Edson Assuncão,06/12/1984,36835464097,O+,93,"1,61"
Clara Mariane Alícia Duarte,25/07/1984,92149986396,A-,59,"1,52"
Laís Sabrina Jéssica Mota,17/02/2001,6092851652,O-,46,"1,77"
Giovanni Ruan Mota,09/12/1967,61861154887,O+,102,"1,79"
Isadora Luzia Brito,01/01/1900,00000000000,O-,73,"1,69"
Camila Giovana Natália Rodrigu,01/01/1900,61356010245,B-,73,"1,62"
Diego Márcio Severino Fernande,14/05/1984,33968990919,B+,77,"1,68"
Gabriela Alícia Tatiane Bernar,22/09/1976,76155182027,B-,54,"1,69"
Larissa Carolina Bárbara Luz,01/01/1900,59717963649,A-,72,"1,51"
Gabriel Fernando Vieira,04/03/1963,42502646960,A+,68,"1,63"
Isaac Juan Araújo,27/04/1952,12918113972,A+,74,"1,93"
Bernardo R Roberto Silveira,03/02/1968,00000000000,B+,84,"1,75"
Gabrielly Camila Fogaca,19/09/1993,87184588312,O+,71,"1,59"
Vicente Marcos Edson Castro,15/01/1959,72192158432,A-,65,"1,88"
Benedito Isaac Alves,05/06/1987,91866402919,A-,74,"1,77"
Sarah Gabrielly Aragão,13/10/1900,20878435549,B+,48,"1,56"
Juan Ricardo Lucas Castro,01/01/1900,89389282250,O+,65,"1,91"
Silvana Joana Conceicão,23/08/1971,00000000000,AB+,47,"1,56"
Matheus Martin Fernando Concei,01/09/1969,57305453803,B-,65,"1,92"
Luna Sophia Martins,01/01/1996,17345696111,B+,59,"1,50"
Antonio Guilherme Anderson San,14/03/1994,64279706158,AB-,80,"1,77"
Fábio Eduardo Campos,13/03/1900,57995115652,A-,95,"1,93"
Thomas Marcelo Bernardes,01/01/1900,74908825670,A-,68,"1,73"
Eliane Kamilly Paz,05/04/1999,66332083913,A+,50,"1,80"
Jaqueline Vera Maya Moraes,27/01/1969,64276815754,AB-,65,"1,70"
Malu Emily Isabelly Lima,14/07/1943,73246164029,O-,65,"1,64"
Rayssa D Priscila Alves,21/08/1950,00000000000,O-,55,"1,71"
Emilly Sarah Drumond,15/02/1984,00000000000,AB-,57,"1,54"
Jorge Nelson Ricardo Mota,01/05/1943,46970767701,B-,69,"1,93"
